Station	Year 	Stats_Code	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
3255	2012	01	12.0	10.0	7.0	4.0	10.0	14.0	10.0	10.0	12.0	10.0	4.0	12.0	115.0
3255	2012	40	12.0	10.0	8.0	6.0	12.0	17.0	10.0	13.0	15.0	12.0	6.0	14.0	135.0
3275	2012	00	57.2	103.8	74.6	29.4	86.2	99.0	99.4	75.0	83.8	72.6	37.2	101.8	920.0
3275	2012	01	11.0	9.0	9.0	6.0	8.0	13.0	9.0	10.0	12.0	13.0	8.0	13.0	121.0
3275	2012	40	13.0	16.0	11.0	6.0	10.0	19.0	16.0	16.0	18.0	19.0	11.0	16.0	171.0
3307	2012	00	39.0	70.0	173.8	26.8	87.2	141.3	91.4	87.5	58.6	110.4	52.6	155.0	1093.6
3307	2012	01	7.0	8.0	11.0	4.0	8.0	12.0	11.0	12.0	12.0	12.0	4.0	12.0	113.0
3307	2012	40	8.0	9.0	11.0	6.0	13.0	13.0	13.0	17.0	15.0	14.0	9.0	14.0	142.0
3308	2012	00	56.0	121.6	115.3	28.0	101.8	114.4	118.3	102.2	82.6	97.8	59.8	154.2	1152.0
3308	2012	01	8.0	10.0	7.0	4.0	8.0	13.0	11.0	12.0	13.0	12.0	6.0	11.0	115.0
3308	2012	40	10.0	14.0	10.0	7.0	12.0	15.0	13.0	15.0	20.0	18.0	11.0	13.0	158.0
3445	2012	00	81.4	44.8	111.0	43.1	66.6	101.4	78.8	108.0	46.2	45.6	21.4	49.6	797.9
3445	2012	01	6.0	8.0	10.0	6.0	13.0	12.0	12.0	14.0	7.0	9.0	5.0	8.0	110.0
3445	2012	40	8.0	10.0	13.0	13.0	15.0	18.0	13.0	17.0	15.0	14.0	10.0	11.0	157.0
3476	2012	00	104.3	71.4	149.4	55.2	102.7	160.2	96.1	102.8	103.7	106.1	34.7	113.4	1200.0
3476	2012	01	7.0	8.0	7.0	7.0	12.0	15.0	9.0	15.0	12.0	10.0	7.0	14.0	123.0
3476	2012	40	10.0	14.0	11.0	8.0	16.0	21.0	14.0	19.0	17.0	15.0	13.0	14.0	172.0
3652	2012	00	98.5	54.1	71.4	20.7	51.8	90.1	63.5	72.5	65.4	68.3	85.7	69.3	811.3
3652	2012	01	9.0	12.0	7.0	6.0	8.0	14.0	12.0	11.0	12.0	13.0	10.0	11.0	125.0
3652	2012	40	10.0	16.0	11.0	9.0	14.0	19.0	13.0	19.0	16.0	18.0	12.0	15.0	172.0
3694	2012	00	83.1	80.1	48.5	30.5	75.5	84.9	60.6	100.3	74.1	93.9	44.0	83.3	858.8
3694	2012	01	10.0	14.0	9.0	6.0	10.0	14.0	9.0	15.0	12.0	14.0	7.0	11.0	131.0
3694	2012	40	12.0	18.0	13.0	6.0	14.0	15.0	11.0	19.0	16.0	20.0	11.0	16.0	171.0
3715	2012	00	89.6	64.0	35.8	25.6	103.4	70.8	70.4	75.0	55.2	52.8	46.0	89.8	778.4
3715	2012	01	12.0	11.0	6.0	4.0	8.0	11.0	10.0	14.0	12.0	11.0	5.0	11.0	115.0
3715	2012	40	12.0	14.0	8.0	5.0	11.0	17.0	11.0	16.0	15.0	16.0	7.0	14.0	146.0
3737	2012	00	117.3	79.1	50.9	37.4	63.5	97.2	82.3	123.2	100.0	93.6	39.6	52.5	936.6
3737	2012	01	9.0	13.0	12.0	6.0	9.0	14.0	11.0	13.0	10.0	14.0	8.0	8.0	127.0
3737	2012	40	10.0	14.0	14.0	7.0	12.0	17.0	12.0	16.0	14.0	20.0	9.0	13.0	158.0
3909	2012	00	219.5	240.9	134.3	168.3	120.9	300.8	220.3	92.3	356.8	507.2	128.9	220.9	2711.1
3909	2012	01	13.0	9.0	12.0	8.0	12.0	15.0	9.0	11.0	19.0	25.0	14.0	15.0	162.0
3909	2012	40	14.0	14.0	20.0	12.0	14.0	20.0	11.0	14.0	20.0	27.0	19.0	17.0	202.0
3950	2012	00	226.8	140.8	99.9	127.1	134.1	349.2	179.5	94.7	239.1	321.0	82.2	194.7	2189.1
3950	2012	01	11.0	11.0	11.0	9.0	11.0	18.0	9.0	8.0	18.0	23.0	10.0	10.0	149.0
3950	2012	40	14.0	15.0	14.0	10.0	14.0	21.0	11.0	11.0	19.0	26.0	14.0	15.0	184.0
3992	2012	00	332.2	354.8	169.2	215.9	194.5	258.6	301.3	137.7	419.7	622.8	145.2	316.6	3468.5
3992	2012	01	15.0	12.0	12.0	8.0	13.0	15.0	8.0	12.0	18.0	24.0	11.0	14.0	162.0
3992	2012	40	17.0	14.0	13.0	8.0	14.0	16.0	9.0	13.0	19.0	28.0	16.0	16.0	183.0
1041	2013	00	5.9	13.5	31.7	116.2	130.7	173.7	114.6	127.2	176.0	34.0	48.4	120.1	1092.0
1041	2013	01	1.0	2.0	6.0	11.0	19.0	14.0	12.0	18.0	13.0	6.0	6.0	9.0	117.0
1041	2013	40	8.0	4.0	14.0	14.0	19.0	20.0	15.0	23.0	22.0	9.0	11.0	17.0	176.0
1056	2013	00	26.4	51.2	31.2	121.6	-	159.8	126.8	233.0	137.0	27.0	64.2	253.2	-
1056	2013	01	3.0	5.0	6.0	11.0	-	12.0	7.0	18.0	17.0	4.0	7.0	6.0	-
1056	2013	40	4.0	8.0	10.0	15.0	-	16.0	11.0	22.0	20.0	7.0	11.0	11.0	-
1287	2013	00	6.4	16.6	16.2	113.2	130.9	121.0	53.4	199.0	163.4	24.2	71.8	113.4	1029.5
1287	2013	01	2.0	3.0	5.0	9.0	18.0	16.0	9.0	17.0	13.0	5.0	10.0	5.0	112.0
1287	2013	40	3.0	6.0	13.0	12.0	21.0	21.0	14.0	20.0	20.0	7.0	13.0	7.0	157.0
1340	2013	00	8.4	5.8	29.2	68.0	155.4	128.0	41.8	142.0	-	23.6	74.6	118.2	-
1340	2013	01	3.0	2.0	8.0	14.0	15.0	13.0	8.0	17.0	-	7.0	10.0	8.0	-
1340	2013	40	4.0	2.0	17.0	19.0	21.0	23.0	15.0	27.0	-	11.0	14.0	15.0	-
1423	2013	00	6.7	58.3	69.0	143.8	288.5	211.4	57.8	169.0	194.7	31.4	74.9	105.6	1411.1
1423	2013	01	4.0	3.0	5.0	15.0	17.0	18.0	11.0	17.0	15.0	10.0	9.0	10.0	134.0
1423	2013	40	9.0	3.0	9.0	20.0	21.0	22.0	13.0	24.0	22.0	12.0	14.0	14.0	183.0
1496	2013	00	5.0	13.5	33.1	96.5	208.0	128.5	35.0	140.7	154.4	28.2	79.0	142.5	1064.4
1496	2013	01	3.0	2.0	8.0	12.0	20.0	14.0	6.0	14.0	-	6.0	9.0	6.0	-
1496	2013	40	3.0	2.0	8.0	12.0	20.0	14.0	7.0	15.0	-	7.0	9.0	6.0	-
1516	2013	00	4.9	16.9	79.4	109.4	174.2	218.5	66.8	185.1	158.5	36.1	106.7	188.0	1344.5
1516	2013	01	1.0	3.0	8.0	13.0	19.0	15.0	11.0	16.0	14.0	6.0	8.0	6.0	120.0
1516	2013	40	6.0	5.0	12.0	17.0	24.0	23.0	15.0	24.0	19.0	10.0	13.0	9.0	177.0
1615	2013	00	4.0	30.8	20.2	284.2	118.8	140.2	61.4	69.8	93.2	15.0	65.2	149.0	1051.8
