Station information:
Name	Agent Number	Network Number	Latitude (dec.deg)	Longitude (dec.deg)	Height (m)	Posn_Precision	Observing Authority
Kaitaia Observatory	1041	A53125	-35.134	173.263	85	G	N/A
Kerikeri Ews	1056	A53191	-35.183	173.926	79	G	N/A
Whangarei Aero Aws	1287	A54737	-35.769	174.364	37	G	Metservice
Leigh 2 Ews	1340	A64282	-36.273	174.796	27	G	N/A
Auckland, Henderson North	1423	A64863	-36.85539	174.62383	7	H	N/A
Waiheke Island, Awaroa Valley	1496	A65812	-36.80698	175.11454	34	H	N/A
Rings Beach	1516	B65762	-36.73154	175.68984	10	H	N/A
Tauranga Aero Aws	1615	B76624	-37.673	176.196	4	G	Metservice
Whakamarama	1617	B76701	-37.73206	176.00218	255	H	N/A
Oropi Water Treatment Plant	1625	B76717	-37.76974	176.13911	77	H	N/A
Edgecumbe	1664	B76972	-37.97245	176.80790	4	H	N/A
Whakatane Aero Aws	1673	B76995	-37.926	176.919	7	G	Metservice
Aniwhenua	1786	B86271	-38.29525	176.79240	158	H	N/A
Rainbow Point	1857	B86703	-38.72178	176.07196	351	H	N/A
Taupo Aws	1858	B86704	-38.744	176.081	400	G	Metservice
Motu, Waiwhero	1904	B87255	-38.27556	177.54049	488	H	N/A
Auckland Aero	1962	C74082	-37.00813	174.78873	7	H	N/A
Auckland, Ardmore	1965	C74091	-37.03402	174.96394	23	H	N/A
Raglan,Karioi	2027	C74885	-37.80211	174.86788	7	H	N/A
Ngahinapouri	2107	C75823	-37.88949	175.23220	45	H	N/A
Hamilton Aws	2112	C75834	-37.865	175.336	53	G	Metservice
Otorohanga, Glenbrook	2195	C85124	-38.159	175.194	40	G	N/A
Taumarunui	2250	C85821	-38.88784	175.25981	171	H	N/A
Ngapuke 2	2255	C85832	-38.84898	175.38172	280	H	N/A
Pukeiti	2274	C93292	-39.20232	173.97952	366	H	N/A
Lake Mangamahoe	2305	C94113	-39.121	174.114	152	G	N/A
Waipuna Woodville	2373	D05381	-40.33078	175.83817	85	H	N/A
Eastry Station	2399	D05681	-40.600	175.848	146	G	N/A
Rotowai	2510	D06072	-39.994	176.713	150	G	N/A
Aramoana	2527	D06181	-40.150	176.835	27	G	N/A
Kiritaki	2532	D06204	-40.234	175.996	216	G	N/A
Woodside 2	2599	D15032	-41.077	175.378	82	G	N/A
The Downs	2631	D15151	-41.106	175.560	61	G	N/A
Gladstone,Bannockburn	2633	D15161	-41.10943	175.63640	102	H	N/A
Gisborne Aws	2810	D87695	-38.660	177.984	5	G	Metservice
Hastings, Flag Range Rd	2973	D96461	-39.475	176.641	131	T	N/A
Napier Aero Aws	2980	D96484	-39.461	176.859	3	G	Metservice
Rose Hill	3011	D96653	-39.648	176.557	171	G	N/A
Gwavas	3037	D96741	-39.776	176.478	244	G	N/A
Ongaonga	3098	D96942	-39.90906	176.41064	214	H	N/A
Mt Vernon 2	3103	D96951	-39.983	176.563	155	T	N/A
Paraparaumu Aero	3145	E04991	-40.907	174.984	5	G	N/A
Marton, Ross Street	3154	E05034	-40.07309	175.37615	158	H	N/A
Sanson, Ngahere	3187	E05142	-40.18901	175.46009	119	H	N/A
Greatford	3189	E05144	-40.12763	175.42254	114	H	N/A
Feilding Sandon Rd	3213	E05251	-40.222	175.549	87	G	N/A
Palmerston North Aws	3243	E05368	-40.325	175.611	39	T	Metservice
Opiki	3255	E05442	-40.44031	175.46436	11	H	N/A
Levin Aws	3275	E05620	-40.622	175.257	14	T	Metservice
Waikanae Waterworks	3307	E05802	-40.88940	175.07200	30	H	N/A
Te Horo, Longcroft	3308	E05811	-40.817	175.148	61	T	N/A
Wellington Aero	3445	E14387	-41.322	174.804	4	G	N/A
Trentham Racecourse	3476	E15101	-41.140	175.041	52	G	N/A
Moawhango, Homestead	3652	E95583	-39.58029	175.86890	503	H	N/A
Oxton	3694	E95831	-39.892	175.330	82	G	N/A
Wanganui,Spriggens Park Ews	3715	E95902	-39.93882	175.04496	15	H	N/A
Ngahere Iti	3737	E95952	-39.99560	175.53653	182	H	N/A
Hokitika Aero	3909	F20793	-42.716	170.988	39	G	N/A
Greymouth Aero	3950	F21422	-42.462	171.191	4	G	N/A
Kowhitirangi No 2	3992	F21801	-42.885	171.032	30	G	N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code	Description	Units
00	Total Rainfall	Mm
01	Wet Days - Number Of Days With 1mm Or More Of Rain	Day
40	Rain Days - Number Of Days With 0.1mm Or More	Day
Note: Statistics calculations are based on Local Time.
Monthly extremes are recorded on the Local-Time day of the month.
Annual extremes are recorded in the Local-Time month of the year.

Stats: Combined
Station	Year 	Stats_Code	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1857	2010	40	13.0	9.0	5.0	5.0	14.0	19.0	10.0	21.0	20.0	13.0	4.0	11.0	144.0
1858	2010	00	107.4	27.8	18.6	33.4	90.2	184.2	19.6	173.0	142.3	28.4	15.8	58.4	899.1
1858	2010	01	9.0	6.0	2.0	4.0	14.0	16.0	4.0	15.0	20.0	7.0	3.0	8.0	108.0
1858	2010	40	14.0	8.0	5.0	7.0	16.0	21.0	13.0	23.0	22.0	10.0	4.0	11.0	154.0
1904	2010	00	235.3	23.4	87.4	100.1	244.7	309.0	194.7	481.2	310.0	220.3	35.0	182.6	2423.7
1904	2010	01	16.0	8.0	8.0	10.0	14.0	15.0	13.0	24.0	19.0	14.0	4.0	11.0	156.0
1904	2010	40	17.0	11.0	10.0	10.0	16.0	17.0	14.0	26.0	21.0	15.0	7.0	13.0	177.0
1962	2010	00	44.0	4.6	7.6	56.0	162.8	160.8	87.0	187.4	112.0	19.8	22.3	94.4	958.7
1962	2010	01	7.0	2.0	3.0	9.0	15.0	16.0	10.0	21.0	17.0	5.0	3.0	8.0	116.0
1962	2010	40	10.0	5.0	9.0	12.0	16.0	18.0	17.0	27.0	21.0	11.0	8.0	11.0	165.0
1965	2010	00	37.6	31.7	10.5	47.1	137.9	191.2	86.8	254.2	135.3	27.9	46.1	105.2	1111.5
1965	2010	01	10.0	4.0	3.0	9.0	14.0	19.0	9.0	25.0	18.0	8.0	5.0	12.0	136.0
1965	2010	40	12.0	10.0	9.0	13.0	17.0	23.0	13.0	28.0	23.0	12.0	8.0	14.0	182.0
2027	2010	00	182.4	36.4	-	27.7	163.3	291.3	76.3	195.4	220.4	37.0	29.4	163.6	-
2027	2010	01	8.0	7.0	-	5.0	17.0	21.0	9.0	20.0	19.0	7.0	4.0	10.0	-
2027	2010	40	8.0	8.0	-	5.0	17.0	23.0	10.0	20.0	21.0	8.0	4.0	11.0	-
2107	2010	00	180.0	54.4	41.9	46.9	127.9	269.1	66.0	219.5	268.0	44.3	14.8	128.6	1461.4
2107	2010	01	14.0	5.0	1.0	6.0	14.0	20.0	9.0	22.0	22.0	9.0	4.0	12.0	138.0
2107	2010	40	17.0	10.0	6.0	13.0	19.0	23.0	16.0	27.0	27.0	12.0	7.0	14.0	191.0
2112	2010	00	191.6	24.4	20.2	36.6	120.4	222.6	65.8	196.1	180.8	41.2	16.0	120.2	1235.9
2112	2010	01	14.0	6.0	3.0	4.0	13.0	19.0	10.0	23.0	19.0	9.0	3.0	10.0	133.0
2112	2010	40	15.0	8.0	6.0	10.0	17.0	19.0	15.0	25.0	22.0	13.0	6.0	15.0	171.0
2195	2010	00	124.8	28.3	8.9	70.4	114.0	291.9	68.8	239.9	320.6	51.0	17.2	174.1	1509.9
2195	2010	01	11.0	6.0	3.0	9.0	16.0	19.0	9.0	22.0	22.0	12.0	3.0	11.0	143.0
2195	2010	40	14.0	10.0	6.0	10.0	19.0	25.0	16.0	27.0	22.0	17.0	5.0	16.0	187.0
2250	2010	00	145.0	53.8	44.2	34.9	111.2	174.1	41.6	227.4	324.0	34.7	30.6	185.0	1406.5
2250	2010	01	11.0	10.0	5.0	7.0	15.0	17.0	7.0	18.0	24.0	5.0	3.0	13.0	135.0
2250	2010	40	14.0	11.0	9.0	12.0	18.0	22.0	9.0	22.0	27.0	9.0	8.0	14.0	175.0
2255	2010	00	101.1	70.9	25.7	43.9	71.3	156.3	41.7	188.2	285.3	24.6	24.6	-	-
2255	2010	01	12.0	8.0	5.0	7.0	14.0	18.0	6.0	18.0	22.0	8.0	2.0	-	-
2255	2010	40	14.0	8.0	7.0	9.0	14.0	20.0	10.0	19.0	24.0	9.0	6.0	-	-
2274	2010	00	198.4	208.2	100.7	155.9	383.2	495.6	116.9	463.5	631.2	163.7	127.2	431.9	3476.4
2274	2010	01	13.0	12.0	10.0	16.0	-	-	10.0	24.0	29.0	11.0	10.0	14.0	-
2274	2010	40	14.0	14.0	17.0	17.0	-	-	11.0	26.0	29.0	15.0	10.0	18.0	-
2305	2010	00	69.8	179.0	55.9	84.0	305.2	354.0	84.1	283.8	397.9	63.0	48.4	287.6	2212.7
2305	2010	01	8.0	11.0	7.0	8.0	15.0	21.0	8.0	23.0	25.0	8.0	6.0	14.0	154.0
2305	2010	40	9.0	12.0	11.0	12.0	15.0	22.0	12.0	25.0	27.0	11.0	7.0	14.0	177.0
2373	2010	00	132.3	96.8	48.0	41.2	114.9	141.2	46.5	171.2	343.7	77.2	58.6	79.4	1351.0
2373	2010	01	15.0	10.0	9.0	7.0	13.0	14.0	8.0	22.0	22.0	8.0	7.0	12.0	147.0
2373	2010	40	15.0	11.0	13.0	10.0	16.0	20.0	12.0	28.0	26.0	13.0	8.0	13.0	185.0
2399	2010	00	219.7	54.1	52.8	25.3	110.1	165.9	89.9	151.9	291.8	77.5	26.6	66.3	1331.9
2399	2010	01	11.0	8.0	6.0	6.0	17.0	21.0	11.0	17.0	24.0	10.0	6.0	11.0	148.0
2399	2010	40	16.0	9.0	8.0	9.0	17.0	24.0	13.0	19.0	25.0	11.0	6.0	11.0	168.0
2510	2010	00	153.4	21.8	14.1	36.3	158.3	132.8	149.2	116.5	87.2	122.7	23.5	37.1	1052.9
2510	2010	01	11.0	4.0	5.0	6.0	12.0	18.0	13.0	11.0	15.0	9.0	6.0	6.0	116.0
2510	2010	40	12.0	8.0	8.0	6.0	16.0	20.0	17.0	18.0	20.0	11.0	7.0	10.0	153.0
2527	2010	00	207.6	22.4	11.6	45.6	136.6	158.1	133.3	133.3	104.0	105.5	32.4	39.8	1130.2
2527	2010	01	11.0	5.0	4.0	3.0	12.0	15.0	11.0	14.0	7.0	6.0	7.0	6.0	101.0
2527	2010	40	12.0	6.0	4.0	4.0	12.0	17.0	13.0	15.0	9.0	7.0	12.0	7.0	118.0
2532	2010	00	165.5	51.5	45.0	32.1	125.0	146.5	74.6	136.9	360.6	77.8	29.7	76.7	1321.9
2532	2010	01	18.0	10.0	8.0	6.0	12.0	16.0	12.0	23.0	25.0	13.0	6.0	12.0	161.0
2532	2010	40	21.0	15.0	11.0	8.0	14.0	17.0	13.0	23.0	27.0	14.0	6.0	17.0	186.0
2599	2010	00	223.4	42.3	115.1	38.8	170.7	222.3	103.0	173.6	227.0	93.3	48.4	103.6	1561.5
2599	2010	01	14.0	7.0	7.0	5.0	14.0	23.0	13.0	20.0	17.0	8.0	4.0	11.0	143.0
2599	2010	40	15.0	10.0	11.0	8.0	20.0	25.0	17.0	26.0	17.0	8.0	4.0	14.0	175.0
2631	2010	00	178.4	21.5	58.8	16.4	131.8	129.1	96.9	107.3	105.9	50.6	35.4	32.8	964.9
2631	2010	01	15.0	5.0	6.0	4.0	18.0	20.0	12.0	17.0	14.0	8.0	6.0	7.0	132.0
2631	2010	40	16.0	6.0	8.0	5.0	18.0	21.0	14.0	18.0	15.0	9.0	7.0	9.0	146.0
2633	2010	00	123.9	17.4	42.6	15.2	138.5	119.1	114.9	101.7	89.9	44.4	24.7	32.8	865.1
2633	2010	01	10.0	3.0	5.0	4.0	14.0	-	12.0	13.0	14.0	7.0	4.0	6.0	-
2633	2010	40	18.0	3.0	6.0	5.0	16.0	-	14.0	18.0	17.0	9.0	5.0	9.0	-
2810	2010	00	171.0	22.8	21.4	75.4	180.2	122.7	184.6	100.3	41.0	199.4	37.4	24.2	1180.4
2810	2010	01	10.0	3.0	5.0	5.0	12.0	14.0	15.0	17.0	8.0	11.0	7.0	7.0	114.0
2810	2010	40	15.0	8.0	9.0	8.0	20.0	18.0	19.0	18.0	12.0	12.0	16.0	10.0	165.0
2973	2010	00	239.6	34.5	20.8	31.8	256.5	183.1	141.3	115.6	73.0	210.6	23.1	55.9	1385.8
2973	2010	01	13.0	5.0	8.0	4.0	12.0	13.0	13.0	8.0	11.0	10.0	5.0	8.0	110.0
2973	2010	40	15.0	12.0	8.0	6.0	16.0	16.0	16.0	14.0	17.0	11.0	8.0	13.0	152.0
2980	2010	00	195.0	32.0	16.6	40.8	194.6	130.7	83.8	95.4	49.2	139.0	28.8	32.8	1038.7
2980	2010	01	13.0	7.0	6.0	5.0	-	13.0	7.0	10.0	9.0	8.0	6.0	9.0	-
2980	2010	40	14.0	13.0	9.0	7.0	-	15.0	10.0	15.0	16.0	12.0	9.0	10.0	-
3011	2010	00	155.9	25.3	8.1	9.8	159.7	112.2	80.9	51.8	96.0	82.2	14.0	21.5	817.4
3011	2010	01	11.0	8.0	5.0	1.0	14.0	11.0	10.0	9.0	13.0	6.0	4.0	4.0	96.0
3011	2010	40	11.0	9.0	8.0	3.0	15.0	18.0	12.0	9.0	14.0	8.0	6.0	7.0	120.0
